Genes,adjpval,log2FC,color
RABGGTB,0.138132611659389,0.6301205468553868,grey
RBM10,0.385195287450824,-0.1341386936719054,grey
RBM14,0.0130468854445531,-0.4261746791251281,grey
RBM15,0.0119859834051119,-0.3852169347227502,grey
RBM15B,0.0094209105120599,-0.4322055190489059,grey
RIMS4,0.0353561694955736,-0.4353898590464222,grey
RIMS3,0.38704833107301,-0.1069514859903728,grey
RHOT2,0.499561257588188,0.0851146101657396,grey
RHOT1,0.0783720416834408,-0.1833110411511077,grey
RHOB,0.271795042750978,-0.2938179263512201,grey
RHOA,0.0477788712311875,-0.7889636683567964,grey
RHEB,0.0166979091250304,-0.5062058179713015,grey
RFC5,0.991056344415386,-0.0225790087710925,grey
RFC4,0.0842573786166294,0.1679105993479522,grey
RFC2,0.0636651562338129,0.2581035796494177,grey
RECQL,0.823357146211155,-0.023640466266519,grey
RDH14,0.605030631752997,0.045371193708517,grey
RDH13,0.886451610586532,0.0187636245729918,grey
RDH11,0.145459264684199,-0.2049725175030225,grey
RCN2,0.328266120623487,0.1783310867058688,grey
RCN1,0.0530589301994885,-0.3622838072641597,grey
RCC2,0.961068862521976,0.0050111034264416,grey
RCC1,0.0459270182142345,-0.2522647340462514,grey
RBX1,0.117305860846873,-0.2292621834673404,grey
RBM7,0.0899825412828298,-0.2570380737512128,grey
RBM5,0.313599500421654,0.2145587321744264,grey
RBM4,0.0195503473369846,-0.3528748875611552,grey
RBM39,0.744500738907788,-0.0945696202786126,grey
RBM3,0.0773120415224504,-0.2099967136970194,grey
RBM28,0.0062680438564334,-0.5892298440814183,grey
RBM25,0.133402430052703,-0.1370681483591351,grey
RBM17,0.392316171928605,-0.1130792415982229,grey
RABGGTA,0.0152554462171707,0.3490759548828044,grey
RABEP1,0.253519537039419,0.1417601578638339,grey
PSMD8,0.194730443305093,0.3236936182295895,grey
PTPN23,0.321619539527253,0.1483724411010785,grey
RAB10,0.669394639036623,0.071523560161547,grey
QTRT2,0.601507350202969,0.1130903099606045,grey
QARS1,0.360834798944624,0.1327568825511371,grey
PYGB,0.052002550399901,0.1863506496336736,grey
PYCR3,0.0196474752056846,0.3695809689980706,grey
PYCR2,0.1727814010989,0.2222441459828595,grey
PYCR1,0.772255314737165,0.015992100725745,grey
PWWP3A,0.0093078339017106,-0.5449101478726532,grey
PURA,0.60947321917809,-0.0414588772295529,grey
PUM3,0.534178386119978,0.0559397325986318,grey
PUF60,0.572339944391396,-0.0936107527567872,grey
PTRH1,0.27794169208101,-0.0975564510911762,grey
PTPN9,0.233108576764341,-0.2478318883153679,grey
PTPN11,0.3020062087077,0.095406792396207,grey
RAB9A,0.0268534905950782,-0.780465945943627,grey
PTPN1,0.0634956121759522,-0.1754969987048002,grey
PTPMT1,0.450870217257875,0.0741145157893416,grey
PTP4A3,0.171488380152277,0.2149253427164844,grey
PTN,0.0338348546338873,0.4099905205473247,grey
PTGR3,0.0121382791053997,-0.5553965089084,grey
PTGES3,0.0173125952100539,-0.5976275559499244,grey
PTGES2,0.163244196028032,-0.143759629101273,grey
PTBP3,0.216708793753045,-0.3338308363600043,grey
PTBP1,0.0207553752572248,-0.30309186219766,grey
PSPC1,0.102543815871682,-0.2205233112924562,grey
PSMF1,0.424196465499879,-0.0669963208558304,grey
PSME3,0.0519888653258878,0.4710740273596371,grey
PSMD9,0.228468305071023,0.1629287929038476,grey
RAB11B,0.609000796774389,0.0732027665105065,grey
RAB13,0.0061200400328304,-0.7172442758205912,grey
RAB14,0.0056713515963893,-0.9511633203309988,grey
RAB15,0.0401261066822308,-0.2633650897588115,grey
RAB8B,0.393698679417976,-0.1242163156861724,grey
RAB8A,0.0841588412872688,-0.2488751321278817,grey
RAB7A,0.292770369330411,-0.1796600392663775,grey
RAB6B,0.0165042305340726,-0.3815816855826404,grey
RAB6A,0.0362151827665779,-0.3957763007092585,grey
RAB5C,0.025647633435911,-0.4872616590482328,grey
RAB5B,0.0151203259216568,-0.5429769210064671,grey
RAB5A,0.0086546505171522,-0.651531967797253,grey
RAB4B,0.339523527727174,-0.1321144369915697,grey
RAB3C,0.027302428762388,-0.549069159675126,grey
RAB3B,0.869730130289714,-0.0147716815918995,grey
RAB3A,0.94685673703374,0.008728161445588,grey
RAB39B,0.523300908045033,-0.0959224017477757,grey
RAB39A,0.563069195675166,-0.0813046410810897,grey
RAB34,0.219858831189623,-0.2006172995722639,grey
RAB33B,0.0366827670074454,-0.5969359480120142,grey
RAB33A,0.0270655073844934,-0.5377505097638465,grey
RAB30,0.0335168684019408,-0.6345970961895867,grey
RAB2B,0.071044357138773,-0.3425518995816522,grey
RAB2A,0.30739382043827,-0.1471720743662659,grey
RAB28,0.0575600063578886,-0.5027377961998174,grey
RAB26,0.578491305146513,0.1710683905406813,grey
RAB23,0.0062680438564334,-0.6952158794332627,grey
RAB21,0.134986377917552,-0.2532524079525616,grey
RAB1B,0.519843063077562,-0.0970798544705771,grey
RAB1A,0.739879616319181,-0.0281045215395138,grey
RAB18,0.0362022952749647,-0.3661579790085248,grey
PHB2,0.0121155086852931,-0.5608567084340159,grey
PGRMC2,0.715829906280574,0.0569037097353984,grey
RLIM,0.416386811243392,-0.2036469085351049,grey
NDUFA12,0.0082853872422076,-0.4243872195895009,grey
NDUFB10,0.0726616825730165,0.3434656148446495,grey
NDUFB1,0.0686344671055073,0.4425723681445142,grey
NDUFAF4,0.391059792239733,-0.0744442658620112,grey
NDUFAF3,0.80106719569169,-0.0065476382805568,grey
NDUFAF2,0.164961167228107,0.1505382054451652,grey
NDUFA9,0.0130468854445531,0.4668032281189033,grey
NDUFA8,0.112638907016425,0.2559530851400549,grey
NDUFA7,0.0255225016433188,0.3732548267417441,grey
NDUFA6,0.058411487833819,-0.3310583186075239,grey
NDUFA5,0.411973630579015,0.1887318620128211,grey
NDUFA4,0.0301118477112991,-0.3994746334561306,grey
NDUFA2,0.898061651050034,-0.0493315548001114,grey
NDUFA13,0.41928513974014,0.2159167143320959,grey
NDUFA11,0.189620529947673,0.1470093757851538,grey
NDUFB4,0.0335168684019408,-0.3039077801132848,grey
NDUFA10,0.0169013455258275,-0.4701758074857323,grey
NDRG4,0.324757982812034,0.3563641766504877,grey
NCSTN,0.273248235828956,0.1228067079844406,grey
NCL,0.139583288289002,0.1329725944806548,grey
NCBP3,0.0067918288114361,-0.4427148814436795,grey
NCBP2,0.01588315470725,-0.3557431049860934,grey
NCAN,0.168790716356386,-0.1966718222572281,grey
NCAM1,0.133874861930747,0.1418756788540066,grey
NBEA,0.0161175806688723,0.4208817818627463,grey
NAXD,0.0092323137798737,-0.5446208954584963,grey
NAV1,0.707829479593925,0.006464607806934,grey
NAT14,0.275181050523421,-0.2505341003252102,grey
NAT1,0.0028884303261364,1.1094281510202442,grey
NDUFB3,0.138059147792356,0.4979343085311844,grey
NDUFB5,0.222264782151414,0.4075114132961271,grey
PGRMC1,0.834104229729395,-0.0376302689763215,grey
NEFM,0.0061816517157318,0.4917676459935916,grey
NIT2,0.0954449159742699,-0.329260995956527,grey
NIPSNAP3A,0.397636005813302,-0.0660355955581019,grey
NIPSNAP2,0.0986198208470117,-0.318225556072733,grey
NIPSNAP1,0.0072570942319517,-0.4751239572365349,grey
NIF3L1,0.33597700117965,0.2231795397440662,grey
NHP2,0.760489518586925,-0.0300091237405793,grey
NFS1,0.0135363863265847,-0.3588418818748671,grey
NEUROG2,0.573592684325346,-0.1129027361610415,grey
NEU1,0.576400634338494,-0.0505042959813588,grey
NES,0.389536087791392,0.3557389920553332,grey
NELFA,0.0069380007745202,1.0830400815510797,grey
NEK7,0.0151157684589154,0.4175137569974738,grey
NEIL2,0.538935476347866,0.2108744436335366,grey
NEFL,0.0060010648675441,0.4825719798097482,grey
NDUFB7,0.0155074224657677,0.6817379621493986,grey
NECAP1,0.0008345647592515,0.8942852343969546,grey
NDUFV2,0.0608036519812059,0.4050961622706593,grey
NDUFV1,0.517515954600974,-0.0632131619480026,grey
NDUFS8,0.117672260047107,0.2711084314385915,grey
NDUFS7,0.0512315438127971,-0.3239969480499042,grey
NDUFS5,0.30739382043827,0.2269966718679558,grey
NDUFS4,0.242224156251136,0.2549071192926075,grey
NDUFS3,0.0342619624378755,0.2485962021298191,grey
NDUFS2,0.305051266566737,0.1443147912746747,grey
NDUFS1,0.0357465640660466,0.5389035526301726,grey
NDUFC2,0.150558784688783,0.2816656614659961,grey
NDUFB9,0.0119410199384979,0.4814040135237027,grey
NDUFB8,0.154161421968146,0.4767812724339726,grey
NAPA,0.0076276982014828,0.4653421394285325,grey
NAP1L4,0.0105852270829879,0.3532099434469864,grey
NAP1L1,0.0210785107670811,0.3076115742432518,grey
MRPS28,0.126383170906981,0.2615168834915807,grey
MSRB2,0.658433257999051,-0.0377266539262801,grey
MSN,0.0195769060547728,0.7606966709255404,grey
MSI2,0.273723305006211,-0.1034267410297014,grey
MSI1,0.351558884131234,-0.1383669009458289,grey
MSH3,0.715829906280574,0.1372108985301317,grey
MSH2,0.830182302444387,-0.0021939064166286,grey
MRPS9,0.212022370716798,0.160882031629904,grey
AARSD1,0.0640965473258096,-0.2433239181485946,grey
MRPS6,0.704356322956821,-0.0911025348585073,grey
MRPS5,0.326710276487077,0.2833256352426358,grey
MRPS34,0.544989397797935,0.0525055192915499,grey
MRPS33,0.120110807333292,0.3591104282662568,grey
MRPS31,0.0838374600156688,0.4080334435716717,grey
MRPS27,0.257143194055627,0.1178478497246929,grey
NAMPT,0.0842573786166294,0.3217775880114844,grey
MRPS26,0.948791736778939,0.0122034049431763,grey
MRPS24,0.636055488382442,0.0989904405471622,grey
MRPS23,0.0151620448404349,0.3366592475817862,grey
MRPS22,0.0892884344377805,0.3755113235421663,grey
MRPS21,0.971115470441043,-0.0749956185603488,grey
MRPS2,0.11373666001223,0.1970600279301597,grey
MRPS17,0.478586030905805,-0.0806344931672801,grey
MRPS15,0.31968363644276,0.1360032554320367,grey
MRPS14,0.003049226070774,-0.7370656100826372,grey
MRPS12,0.0651275362341576,-0.451016578144755,grey
MRPS11,0.897920894275128,-0.0384642439619491,grey
MRPL9,0.0062680438564334,-0.4811565457889588,grey
MRPL58,0.576339883703008,-0.1555651725618727,grey
MT-CO2,0.0401261066822308,0.440888016451794,grey
MTCH1,0.639605276471979,-0.0218294908014108,grey
MTCH2,0.0096550670707408,-0.5344424701271482,grey
MTDH,0.268380164446081,-0.1675019145050838,grey
NAGK,0.0062680438564334,0.5102364986439677,grey
NAE1,0.964579776769305,0.0119456537434927,grey
NACAD,0.154486560126666,0.3765535199639878,grey
NACA,0.854324650596551,0.009536175735918,grey
NAA30,0.303561808229524,0.3516776728610011,grey
N6AMT1,0.137828802149185,-0.1995357580205121,grey
MYO6,0.0110889982185366,0.6025705783956464,grey
MYO5A,0.0333710795647231,0.3406341108600927,grey
MYO1C,0.0052502479484459,-0.6679817529542516,grey
MYO1B,0.002301289556564,0.6766261497948867,grey
MYO18A,0.0653716511185407,0.3238144886938265,grey
MYL6,0.169804882024132,0.2243851413593493,grey
MYH9,0.002301289556564,0.694948538563255,grey
